ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,19231 13 19246 1 19482 2 19486 19 19738 23 19995 22 20253 4 20259 7 20267 4 20512 1 20515 7 20525 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45358 12 45613 14 45869 14 46124 15 46380 15 46636 14 46893 12 47150 10 47406 9 47664 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,19507 1 19763 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50280 6 50534 10 50788 12 51045 12 51299 15 51554 16 51809 17 52065 17 52321 17 52577 16 52833 16 53089 16 53346 13 53603 12 53860 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,11148 7 11402 9 11657 10 11912 11 12167 12 12422 14 12678 14 12933 14 13189 14 13445 12 13701 12 13958 10 14215 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31886 9 32138 15 32393 17 32649 17 32904 19 33160 19 33416 18 33672 18 33928 18 34183 18 34439 17 34696 14 34952 14 35209 12 35466 11
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51097 6 51350 10 51606 10 51861 11 52116 12 52371 12 52626 13 52882 12 53137 13 53393 13 53649 11 53905 10 54161 9 54418 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31132 4 31388 6 31644 6 31900 6 32156 6 32413 5 32669 4 32926 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 1 38820 5 39074 8 39330 8 39584 10 39838 12 40093 13 40349 13 40606 11 40862 12 41118 11 41375 9 41631 9 41887 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47750 1 48269 1 48788 2 49307 3 49826 4 50345 4 50365 1 50864 4 50881 6 51383 5 51400 7 51902 5 51920 7 52421 5 52439 7 52940 5 52957 8 53459 6 53476 9 53978 8 53994 11 54497 9 54513 11 55016 10 55032 11 55535 13 55550 13 56054 29 56573 29 57092 29 57611 31 58130 31 58649 31 59168 31 59687 31 60206 31 60725 31 61244 31 61763 31 62282 31 62801 31 63320 29 63839 29 64358 29 64877 27 65396 28 65915 29 66434 29 66953 29 67472 30 67991 31 68510 33 69029 33 69548 34 70067 35 70586 37 71105 37 71624 37 72143 39 72662 39 73181 40 73700 41 74219 42 74738 43 75257 44 75776 45 75826 7 76295 45 76343 11 76814 46 76861 13 77333 61 77852 61 78371 62 78890 63 79409 63 79928 63 80447 63 80967 62 81487 61 82008 61 82527 61 83047 60 83567 59 84087 58 84607 57 85126 57 85646 56 86166 55 86685 55 87204 54 87723 53 88244 51 88763 49 89282 49 89801 48 90321 48 90841 47 91359 49 91879 47 92398 49 92917 50 93437 50 93957 49 94476 51 94995 56 95515 57 96035 56 96556 5 96563 48 97075 5 97083 48 97595 4 97602 49 98114 4 98121 50 98633 4 98640 50 99152 58 99671 59 100191 59 100710 59 101231 58 101750 1 101753 55 102269 2 102272 56 102786 61 103305 62 103826 62 104348 59 104868 59 105388 58 105908 58 106427 58 106948 58 107470 55 107990 54 108511 52 109032 50 109553 49 110073 49 110593 50 111112 52 111632 51 112152 53 112671 58 113191 57 113711 10 113723 45 114230 9 114242 46 114750 9 114761 47 115270 58 115790 57 116310 5 116318 48 116829 5 116837 48 117349 4 117356 47 117870 2 117875 46 118394 48 118909 1 118913 48 119428 2 119431 51 119947 54 120467 53 120988 51 121508 52 122027 52 122546 52 123065 53 123584 54 124104 53 124624 52 125145 50 125665 51 126185 52 126706 6 126714 42 127226 51 127745 53 128265 53 128784 52 129304 51 129823 53 130342 54 130865 49
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118334 1 118853 2 119372 2 119891 2 120410 3 120929 3 121448 3 121967 3 122486 3 123005 4 123524 5 124043 5 124562 5 125081 5 125600 5 126119 4 126638 5 127157 6 127676 6 128195 5 128714 5 129233 3 129752 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25456 7 25972 12 26490 14 27007 17 27524 20 28042 21 28560 23 29078 25 29596 26 30114 27 30633 26 31152 26 31671 25 32190 25 32709 25 33228 25 33747 23 34267 21 34786 20 35306 17 35825 15 36344 15 36863 13 37382 12 37903 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118365 7 118883 11 119400 13 119917 15 120436 16 120955 17 121473 18 121993 18 122512 19 123031 19 123549 20 124067 21 124586 21 125107 17 125624 19 126145 17 126664 17 127183 17 127702 17 128221 16 128742 13 129261 13 129782 9 130303 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7836 4 8354 7 8871 11 9390 12 9908 14 10426 17 10945 17 11464 18 11983 19 12501 20 13019 21 13538 21 14058 20 14577 20 15096 20 15614 21 16133 21 16652 21 17171 20 17690 20 18210 18 18730 17 19249 16 19768 15 20287 15 20806 13 21325 13 21844 11 22364 10 22884 9 23406 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29125 13 29641 17 30158 20 30676 22 31194 23 31713 22 32232 22 32750 23 33268 24 33787 24 34305 25 34823 25 35342 24 35861 23 36380 21 36899 21 37418 19 37937 17 38456 15 38975 15 39494 15 40013 13 40534 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46267 12 46783 18 47302 19 47819 21 48338 22 48856 24 49375 24 49894 24 50412 25 50930 26 51450 25 51968 25 52487 24 53006 24 53526 22 54046 20 54566 13
